"Subject" "Activity" "MeasureType" "Measurement" "Mean"
"15" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.189272058965104
"16" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.312374559523039
"17" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.161315783339323
"18" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.37935228112069
"19" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.117493244457687
"20" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.149980140376078
"21" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.204747412786702
"22" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.041024443716369
"23" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.144166491325074
"24" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.3008345437
"25" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.423002660465385
"26" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.244667230177727
"27" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.309883488080882
"28" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.262566958742157
"29" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.11348197320977
"30" "WALKING_UPSTAIRS" "Frequency" "BodyAcc" -0.273743124361231
"1" "LAYING" "Time" "BodyAcc" -0.520017319484675
"2" "LAYING" "Time" "BodyAcc" -0.591613813094792
"3" "LAYING" "Time" "BodyAcc" -0.586284255549798
"4" "LAYING" "Time" "BodyAcc" -0.575819629413657
"5" "LAYING" "Time" "BodyAcc" -0.584636349860577
"6" "LAYING" "Time" "BodyAcc" -0.561853926607895
"7" "LAYING" "Time" "BodyAcc" -0.566351459480288
"8" "LAYING" "Time" "BodyAcc" -0.565150256219815
"9" "LAYING" "Time" "BodyAcc" -0.56427617448275
"10" "LAYING" "Time" "BodyAcc" -0.579065687493534
"11" "LAYING" "Time" "BodyAcc" -0.59095647534693
"12" "LAYING" "Time" "BodyAcc" -0.5753798724435
"13" "LAYING" "Time" "BodyAcc" -0.578343925951008
"14" "LAYING" "Time" "BodyAcc" -0.54437532205098
"15" "LAYING" "Time" "BodyAcc" -0.576117602576024
"16" "LAYING" "Time" "BodyAcc" -0.581458387537393
"17" "LAYING" "Time" "BodyAcc" -0.578322742765458
"18" "LAYING" "Time" "BodyAcc" -0.597708642007692
"19" "LAYING" "Time" "BodyAcc" -0.58825838700256
"20" "LAYING" "Time" "BodyAcc" -0.584794866570404
"21" "LAYING" "Time" "BodyAcc" -0.575345969438528
"22" "LAYING" "Time" "BodyAcc" -0.56168288898684
"23" "LAYING" "Time" "BodyAcc" -0.584874378152778
"24" "LAYING" "Time" "BodyAcc" -0.589703447740972
"25" "LAYING" "Time" "BodyAcc" -0.424551633842466
"26" "LAYING" "Time" "BodyAcc" -0.591357911447204
"27" "LAYING" "Time" "BodyAcc" -0.595178002859797
"28" "LAYING" "Time" "BodyAcc" -0.579074604348125
"29" "LAYING" "Time" "BodyAcc" -0.596143052019928
"30" "LAYING" "Time" "BodyAcc" -0.583710015884464
"1" "SITTING" "Time" "BodyAcc" -0.569958006331463
"2" "SITTING" "Time" "BodyAcc" -0.583268616615489
"3" "SITTING" "Time" "BodyAcc" -0.539135809782933
"4" "SITTING" "Time" "BodyAcc" -0.56179237057475
"5" "SITTING" "Time" "BodyAcc" -0.564379903689205
"6" "SITTING" "Time" "BodyAcc" -0.569837593938864
"7" "SITTING" "Time" "BodyAcc" -0.548930834694219
"8" "SITTING" "Time" "BodyAcc" -0.571461197752174
"9" "SITTING" "Time" "BodyAcc" -0.5344447153975
"10" "SITTING" "Time" "BodyAcc" -0.57722737410419
"11" "SITTING" "Time" "BodyAcc" -0.578786379365094
"12" "SITTING" "Time" "BodyAcc" -0.574699366932525
"13" "SITTING" "Time" "BodyAcc" -0.573947109443622
"14" "SITTING" "Time" "BodyAcc" -0.564102891144676
"15" "SITTING" "Time" "BodyAcc" -0.575994250820763
"16" "SITTING" "Time" "BodyAcc" -0.574957283135326
"17" "SITTING" "Time" "BodyAcc" -0.588783450991016
"18" "SITTING" "Time" "BodyAcc" -0.594952769926535
"19" "SITTING" "Time" "BodyAcc" -0.580515317887329
"20" "SITTING" "Time" "BodyAcc" -0.572982519700511
"21" "SITTING" "Time" "BodyAcc" -0.589233900256912
"22" "SITTING" "Time" "BodyAcc" -0.566898092591391
"23" "SITTING" "Time" "BodyAcc" -0.567627693953309
"24" "SITTING" "Time" "BodyAcc" -0.584919445115772
"25" "SITTING" "Time" "BodyAcc" -0.585036423523462
"26" "SITTING" "Time" "BodyAcc" -0.575448766194647
"27" "SITTING" "Time" "BodyAcc" -0.590266737761071
"28" "SITTING" "Time" "BodyAcc" -0.577062307942813
"29" "SITTING" "Time" "BodyAcc" -0.589900156988542
"30" "SITTING" "Time" "BodyAcc" -0.576468644007863
"1" "STANDING" "Time" "BodyAcc" -0.595346093739387
"2" "STANDING" "Time" "BodyAcc" -0.583060845870139
"3" "STANDING" "Time" "BodyAcc" -0.556012231591234
"4" "STANDING" "Time" "BodyAcc" -0.54475001099596
"5" "STANDING" "Time" "BodyAcc" -0.539983555445379
"6" "STANDING" "Time" "BodyAcc" -0.570403383192763
"7" "STANDING" "Time" "BodyAcc" -0.565964475222877
"8" "STANDING" "Time" "BodyAcc" -0.573201936143056
"9" "STANDING" "Time" "BodyAcc" -0.568494437080833
"10" "STANDING" "Time" "BodyAcc" -0.571918231897727
"11" "STANDING" "Time" "BodyAcc" -0.594858035630319
"12" "STANDING" "Time" "BodyAcc" -0.568347918269467
"13" "STANDING" "Time" "BodyAcc" -0.587402506705263
"14" "STANDING" "Time" "BodyAcc" -0.567842908466333
"15" "STANDING" "Time" "BodyAcc" -0.578459295901179
"16" "STANDING" "Time" "BodyAcc" -0.583355956773878
"17" "STANDING" "Time" "BodyAcc" -0.591714775343894
"18" "STANDING" "Time" "BodyAcc" -0.58745500636387
"19" "STANDING" "Time" "BodyAcc" -0.582036249728938
"20" "STANDING" "Time" "BodyAcc" -0.553654645794315
"21" "STANDING" "Time" "BodyAcc" -0.579626659516615
"22" "STANDING" "Time" "BodyAcc" -0.573292416265734
"23" "STANDING" "Time" "BodyAcc" -0.57907539138421
"24" "STANDING" "Time" "BodyAcc" -0.574340701131174
"25" "STANDING" "Time" "BodyAcc" -0.587202186412213
"26" "STANDING" "Time" "BodyAcc" -0.585313063841267
"27" "STANDING" "Time" "BodyAcc" -0.586688372761875
"28" "STANDING" "Time" "BodyAcc" -0.555967436749858
"29" "STANDING" "Time" "BodyAcc" -0.595002183220962
"30" "STANDING" "Time" "BodyAcc" -0.559733558344068
"1" "WALKING" "Time" "BodyAcc" -0.0796459762289474
"2" "WALKING" "Time" "BodyAcc" -0.185951508899068
"3" "WALKING" "Time" "BodyAcc" -0.156885779695216
"4" "WALKING" "Time" "BodyAcc" -0.224162523685729
"5" "WALKING" "Time" "BodyAcc" -0.132134179678355
"6" "WALKING" "Time" "BodyAcc" -0.114220454660022
"7" "WALKING" "Time" "BodyAcc" -0.0494013130517544
"8" "WALKING" "Time" "BodyAcc" 0.010641307842474
"9" "WALKING" "Time" "BodyAcc" -0.103241732169675
"10" "WALKING" "Time" "BodyAcc" -0.0947008833122641
"11" "WALKING" "Time" "BodyAcc" -0.204082729987246
"12" "WALKING" "Time" "BodyAcc" -0.10538233416225
"13" "WALKING" "Time" "BodyAcc" -0.0884902347175439
"14" "WALKING" "Time" "BodyAcc" -0.0961441588703602
"15" "WALKING" "Time" "BodyAcc" -0.133647259079074
"16" "WALKING" "Time" "BodyAcc" -0.18285590203973
"17" "WALKING" "Time" "BodyAcc" -0.133978951549549
"18" "WALKING" "Time" "BodyAcc" -0.203468365085826
"19" "WALKING" "Time" "BodyAcc" 0.0113575556367067
"20" "WALKING" "Time" "BodyAcc" 0.0091270693775098
"21" "WALKING" "Time" "BodyAcc" -0.0848597211856971
"22" "WALKING" "Time" "BodyAcc" -0.00699326234000815
"23" "WALKING" "Time" "BodyAcc" -0.0544651287438771
"24" "WALKING" "Time" "BodyAcc" -0.193867161283621
"25" "WALKING" "Time" "BodyAcc" -0.251784599266723
"26" "WALKING" "Time" "BodyAcc" -0.162544929239619
"27" "WALKING" "Time" "BodyAcc" -0.166490674178432
"28" "WALKING" "Time" "BodyAcc" -0.140417574834954
"29" "WALKING" "Time" "BodyAcc" -0.0897575641628066
"30" "WALKING" "Time" "BodyAcc" -0.129405064101058
"1" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.00169481892221684
"2" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0812611259454787
"3" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.0499773813951531
"4" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.0817903166018056
"5" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0801502377481383
"6" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.160163509192396
"7" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0331776666721277
"8" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.120549990669079
"9" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0741086115854851
"10" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0854556292554276
"11" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0286212029891033
"12" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.000289738679691522
"13" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.0156433471725
"14" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.205349561777333
"15" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.143589618616637
"16" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0674100409553458
"17" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0405205309366576
"18" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.166342873918682
"19" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.295441406825163
"20" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.138362074304667
"21" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.143747119651083
"22" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.110527206098295
"23" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.114343257208727
"24" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.0397400828570682
"25" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.14609044095222
"26" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0373895600052775
"27" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0287241814522727
"28" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0430040699100544
"29" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" 0.0299992098705729
"30" "WALKING_DOWNSTAIRS" "Time" "BodyAcc" -0.0234377416037903
"1" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0871499438344576
"2" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0685663868669792
"3" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.133814777415636
"4" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.110600019414264
"5" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0167949297972606
"6" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0196057281734559
"7" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.152767966794363
"8" "WALKING_UPSTAIRS" "Time" "BodyAcc" 0.0384483413457317
"9" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.182540865215513
"10" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0430828954312128
"11" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.105107971423611
"12" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.150802465347356
"13" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0914775084200227
"14" "WALKING_UPSTAIRS" "Time" "BodyAcc" 0.107107348646921
"15" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0528651124882812
"16" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.14266746546902
"17" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0391975003513281
"18" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.178268179869392
"19" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0303101022624688
"20" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0349797415446078
"21" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0742737418202128
"22" "WALKING_UPSTAIRS" "Time" "BodyAcc" 0.0474414652125298
"23" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0363962875933333
"24" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.139953449110085
"25" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.205045832532154
"26" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0992216964815682
"27" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.129943936327206
"28" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.120053121220196
"29" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.00312569362857143
"30" "WALKING_UPSTAIRS" "Time" "BodyAcc" -0.0995650654779038
"1" "LAYING" "Frequency" "BodyAccJerk" -0.94245841255
"2" "LAYING" "Frequency" "BodyAccJerk" -0.985788079635417
"3" "LAYING" "Frequency" "BodyAccJerk" -0.977190146189516
"4" "LAYING" "Frequency" "BodyAccJerk" -0.965365928657407
"5" "LAYING" "Frequency" "BodyAccJerk" -0.977876287091346
"6" "LAYING" "Frequency" "BodyAccJerk" -0.95320674875
"7" "LAYING" "Frequency" "BodyAccJerk" -0.973799309543269
"8" "LAYING" "Frequency" "BodyAccJerk" -0.97006414162037
"9" "LAYING" "Frequency" "BodyAccJerk" -0.961082692725
"10" "LAYING" "Frequency" "BodyAccJerk" -0.97239901575431
"11" "LAYING" "Frequency" "BodyAccJerk" -0.979288983114035
"12" "LAYING" "Frequency" "BodyAccJerk" -0.966681840166667
"13" "LAYING" "Frequency" "BodyAccJerk" -0.982188830665323
"14" "LAYING" "Frequency" "BodyAccJerk" -0.969882646102941
"15" "LAYING" "Frequency" "BodyAccJerk" -0.976382489114583
"16" "LAYING" "Frequency" "BodyAccJerk" -0.987186360071429
"17" "LAYING" "Frequency" "BodyAccJerk" -0.980477548151408
"18" "LAYING" "Frequency" "BodyAccJerk" -0.987905334442308
"19" "LAYING" "Frequency" "BodyAccJerk" -0.981842237003012
"20" "LAYING" "Frequency" "BodyAccJerk" -0.981702586985294
"21" "LAYING" "Frequency" "BodyAccJerk" -0.979882393333333
"22" "LAYING" "Frequency" "BodyAccJerk" -0.965441641059028
"23" "LAYING" "Frequency" "BodyAccJerk" -0.98657935265625
"24" "LAYING" "Frequency" "BodyAccJerk" -0.983941592361111
"25" "LAYING" "Frequency" "BodyAccJerk" -0.962837721558219
"26" "LAYING" "Frequency" "BodyAccJerk" -0.988588283881579
"27" "LAYING" "Frequency" "BodyAccJerk" -0.987467298141892
"28" "LAYING" "Frequency" "BodyAccJerk" -0.97649830003125
"29" "LAYING" "Frequency" "BodyAccJerk" -0.992256939764493
"30" "LAYING" "Frequency" "BodyAccJerk" -0.974665018428571
"1" "SITTING" "Frequency" "BodyAccJerk" -0.984930496888298
"2" "SITTING" "Frequency" "BodyAccJerk" -0.984618821440217
"3" "SITTING" "Frequency" "BodyAccJerk" -0.967791099110577
"4" "SITTING" "Frequency" "BodyAccJerk" -0.966269222575
"5" "SITTING" "Frequency" "BodyAccJerk" -0.967220839573864
"6" "SITTING" "Frequency" "BodyAccJerk" -0.955995850659091
"7" "SITTING" "Frequency" "BodyAccJerk" -0.973744241536458
"8" "SITTING" "Frequency" "BodyAccJerk" -0.98307299173913
"9" "SITTING" "Frequency" "BodyAccJerk" -0.95921259495
"10" "SITTING" "Frequency" "BodyAccJerk" -0.985782443611111
"11" "SITTING" "Frequency" "BodyAccJerk" -0.97642433995283
"12" "SITTING" "Frequency" "BodyAccJerk" -0.973436561862745
"13" "SITTING" "Frequency" "BodyAccJerk" -0.988342093571429
"14" "SITTING" "Frequency" "BodyAccJerk" -0.974782458449074
"15" "SITTING" "Frequency" "BodyAccJerk" -0.984482592711864
